ID	PercChange_ActNoCorr/Ingreso	PercChange_CostoOperacion/Ingreso	PercChange_GastoAdmin/Ingreso	PercChange_NPersonal/Ingreso	PercChange_Liquidez	PercChange_ROA	PercChange_ROE	Whealth_Creation
2013-2014_AGRO INDUSTRIAL PARAMONGA S.A.A.	3.33	-0.32	-4.58	1.49	-27.59			0
2013-2014_AGROKASA HOLDINGS S.A.	-24.16	47.26	-25.47	-3.82	-80.15	-18.48	-19.14	0
2013-2014_ALICORP S.A.A.	0.36	0.28	12.16	14.84	-47.03	-97.18	-96.32	0
2013-2014_ANDINO INVESTMENT HOLDING S.A.A.	2.99	1.28	-1.84	2.76	-69.66			0
2013-2014_AUSTRAL GROUP S.A.A.	26.18	-2.35	4.91	-34.19	1.79			1
2013-2014_BANCO DE CREDITO DEL PERU	8.49	-13.61	-1.97	1.17	21.68	-2.07	-4.49	0
2013-2014_BANCO PICHINCHA (ANTES BANCO FINANCIERO DEL PERU)	-12.32	-4.14	-0.47	-26.54	-14.06	4.87	-9.21	0
2013-2014_BBVA BANCO CONTINENTAL	3.33	-8.31	1.19		-6.56	-7.37	-9.67	0
2013-2014_CEMENTOS PACASMAYO S.A.A.	29.84	0.87	-6.95	-13.06	-46.87	19.14	20.31	0
2013-2014_CERVECERIA SAN JUAN S.A.	0.67	0.72	15.96	-7.34	-51.15	-1.76	-1.87	1
2013-2014_CINEPLEX S.A.	11.56	-2.10	15.68	19.01	117.29	-10.08	15.45	0
2013-2014_COMPAÑÍA DE MINAS BUENAVENTURA S.A.A.	10.97	2.10	42.67	-11.17	-28.34			0
2013-2014_COMPAÑÍA MINERA SAN IGNACIO DE MOROCOCHA S.A.A.	135.29	29.54	47.04	-1.08	-61.40			1
2013-2014_CONSORCIO CEMENTERO DEL SUR S.A. - CONCESUR S.A.	64.88	1.64	-3.45	-39.45	187.91	73.26	99.53	0
2013-2014_CORPORACION ACEROS AREQUIPA S.A.	-11.73	0.93	-7.66	-4.91	11.10	207.43	183.07	0
2013-2014_CORPORACION CERVESUR S.A.A.	-11.09	-1.80	-7.46	-0.23	122.74			1
2013-2014_CORPORACIÓN FINANCIERA DE INVERSIONES S.A.	-19.46	-15.15	-20.79	-24.60	-69.07	4.60	8.05	0
2013-2014_CORPORACION LINDLEY S.A.	13.20	0.19	-4.02	2.58	-26.33			1
2013-2014_CREDICORP CAPITAL PERÚ S.A.A.	87.21	3.00	-29.24	-65.34	-15.10	121.48	106.14	1
2013-2014_CREDITEX S.A.A.	-4.50	-1.66	-1.31	-7.04	-19.10	338.38	327.21	0
2013-2014_DIVISO GRUPO FINANCIERO S.A.	38.42	-5.69	0.41		263.97	-81.85	-77.97	0
2013-2014_ELECTRO DUNAS S.A.A.	-14.62	-4.90	20.37	9.98	-29.59	-22.09	-18.74	1
2013-2014_EMPRESA EDITORA EL COMERCIO S.A.	4.49	8.00	1.04		-15.85	-23.57	-23.19	0
2013-2014_ENEL GENERACIÓN PERÚ S.A.A.	-23.77	-4.25	-15.31		29.85	10691.50	19.06	1
2013-2014_EXSA S.A.	-15.35	15.09	-15.50		-10.08	-50.97	-47.35	0
2013-2014_FALABELLA PERÚ S.A.A.	60.96	0.77	4.84		-57.57	-38.76	-40.53	1
2013-2014_FERREYCORP S.A.A.	6.80	-1.21	20.97	-0.35	49.06	-9.83	-9.94	0
2013-2014_FUTURA CONSORCIO INMOBILIARIO S.A.	9.76	13.29	-0.80		453.23	-55.85	-56.25	0
2013-2014_GR HOLDING S.A.	-0.43	-1.77	-8.48	-11.89	46.77	-15.01	-15.23	0
2013-2014_GRAÑA Y MONTERO S.A.A.	9.63	3.92	-0.84	42.01	772.94	-28.50	-11.81	0
2013-2014_INRETAIL PERÚ CORP.	2.02	-1.27	-16.98		494.20	79.61	96.20	1
2013-2014_INTERCORP FINANCIAL SERVICES INC.	-3.92	-16.00	14.58			5.71	-9.64	0
2013-2014_INTRADEVCO INDUSTRIAL S.A.	4.71	-2.13	77.52		5.51	12.95	15.95	1
2013-2014_INVERSIONES CENTENARIO S.A.A.	-17.68	-2.95	-22.71	42.80	256.29	-9.93	-12.47	0
2013-2014_INVERSIONES NACIONALES DE TURISMO S.A. - INTURSA	-11.62	-4.48	-2.69	-2.44	31.18			0
2013-2014_LA POSITIVA SEGUROS Y REASEGUROS S.A.A.	-25.01	-39.69	22.83	1.92	-4.16	19.97	28.27	0
2013-2014_LECHE GLORIA S.A.	7.46	3.84	-9.17	-2.70	9.57	-32.26	-25.79	0
2013-2014_LUZ DEL SUR S.A.A.	-4.60	0.90	-6.40	-9.39	23.68	14.83	16.21	0
2013-2014_MAPFRE PERÚ VIDA COMPAÑÍA DE SEGUROS Y REASEGUROS	-8.19	-12.57	-17.32	-20.46	-22.73	14.60	10.71	0
2013-2014_MINSUR S.A.	29.44	-9.57	-0.00	12.98	56.56	-51.63	-52.30	1
2013-2014_NEXA RESOURCES PERU S.A.A. (ANTES COMPAÑÍA MINERA MILPO S.A.A.)	-0.64	-1.44	-14.56		-0.61	46.72		1
2013-2014_PERU HOLDING DE TURISMO S.A.A.	-11.69		10.21		-56.48			1
2013-2014_QUIMPAC S.A.	16.59	3.35	-2.46	255.84	-29.55	-27.91	-28.18	0
2013-2014_REFINERIA LA PAMPILLA S.A.A. - RELAPA S.A.A.	21.74	0.69	15.80	29.73	-48.60			1
2013-2014_RIMAC SEGUROS Y REASEGUROS	38.11	20.45	23.49		-14.15	33.03	31.48	0
2013-2014_SAGA FALABELLA S.A.	7.65	2.46	-7.46	6.18	-20.60	-18.81	-12.10	1
2013-2014_SCOTIABANK PERU S.A.A.	16.67	-13.40	2.88	-6.23		2.05	-1.90	0
2013-2014_TELEFONICA DEL PERU S.A.A.	-4.00		1.73	-11.94	4.08	15.52	7.11	0
2013-2014_UNIÓN ANDINA DE CEMENTOS S.A.A. -UNACEM S.A.A.					-2.33			0
2013-2014_UNION DE CERVECERIAS PERUANAS BACKUS Y JOHNSTON S.A.A.	0.67	0.72	15.96		0.06	-1.76	-1.87	0
2013-2014_VOLCAN COMPAÑIA MINERA S.A.A.	19.13	22.03	0.08	6.47	-4.16	-68.16	-67.57	1
2013-2015_AGRO INDUSTRIAL PARAMONGA S.A.A.	-13.76	-19.96	-6.67	7.87	-49.95			1
2013-2015_AGROKASA HOLDINGS S.A.	-25.02	30.20	-22.75	-17.85	-81.99	161.90	144.33	0
2013-2015_ALICORP S.A.A.	-10.75	-1.29	14.09	8.28	-51.52	-59.51	-54.56	0
2013-2015_ANDINO INVESTMENT HOLDING S.A.A.	0.98	2.29	8.47	2.02	-87.65			0
2013-2015_AUSTRAL GROUP S.A.A.	49.30	-11.77	22.60	-43.88	61.48			0
2013-2015_BANCO DE CREDITO DEL PERU	22.85	-16.94	-6.42	-18.33	48.55	23.03	15.67	0
2013-2015_BANCO PICHINCHA (ANTES BANCO FINANCIERO DEL PERU)	-1.58	-8.41	-1.78	-42.96	-15.09	-9.01	-14.44	0
2013-2015_BBVA BANCO CONTINENTAL	6.43	7.95	7.58		-24.54	-26.66	-17.79	0
2013-2015_CEMENTOS PACASMAYO S.A.A.	65.47	-2.18	-9.09	-8.43	-69.93	26.81	36.51	0
2013-2015_CERVECERIA SAN JUAN S.A.	-4.05	0.75	12.37	-11.36	-18.35	14.88	19.16	1
2013-2015_CINEPLEX S.A.	-8.45	-2.31	-6.20	28.14	51.27	32.99	74.98	1
2013-2015_COMPAÑÍA DE MINAS BUENAVENTURA S.A.A.	37.37	26.41	50.83	-0.06	-65.00			0
2013-2015_COMPAÑÍA MINERA SAN IGNACIO DE MOROCOCHA S.A.A.	20.81	-0.73	-18.17	91.53	-84.04			1
2013-2015_CONSORCIO CEMENTERO DEL SUR S.A. - CONCESUR S.A.	28.41	8.83	-17.38	-60.95	23.89	-36.90	-36.89	0
2013-2015_CORPORACION ACEROS AREQUIPA S.A.	-9.91	-2.85	0.70	-29.88	52.27	314.90	240.74	0
2013-2015_CORPORACION CERVESUR S.A.A.	-8.58	-5.19	0.40	6.67	-68.74			0
2013-2015_CORPORACIÓN FINANCIERA DE INVERSIONES S.A.	-25.70	-14.46	-18.65	-44.73	-87.01	39.53	44.03	0
2013-2015_CORPORACION LINDLEY S.A.	6.83	-5.21	-8.44	12.33	-20.57			1
2013-2015_CREDICORP CAPITAL PERÚ S.A.A.	55.18	5.61	-41.24	-68.73	458.44	212.66	187.04	0
2013-2015_CREDITEX S.A.A.	8.91	-3.15	11.00	-13.93	-45.39	171.46	180.14	0
2013-2015_DIVISO GRUPO FINANCIERO S.A.	-28.58	23.35	-43.76		85.02	-100.00	-100.00	0
2013-2015_ELECTRO DUNAS S.A.A.	-24.35	-4.97	15.16	27.14	-32.42	-25.39	-14.49	0
2013-2015_EMPRESA EDITORA EL COMERCIO S.A.	10.05	17.19	-0.17		-32.54	-58.48	-57.03	0
2013-2015_ENEL GENERACIÓN PERÚ S.A.A.	-26.22	-4.11	37.60		-5.75	7.78	1.48	0
2013-2015_EXSA S.A.	-27.64	14.89	24.39		31.95	-100.00	-100.00	0
2013-2015_FALABELLA PERÚ S.A.A.	52.73	0.38	6.18		-99.70	-31.90	-31.80	0
2013-2015_FERREYCORP S.A.A.	9.10	-3.46	23.75	-5.68	-13.68	51.17	49.20	0
2013-2015_FUTURA CONSORCIO INMOBILIARIO S.A.	6.21	10.35	5.70		280.88	-100.00	-100.00	0
2013-2015_GR HOLDING S.A.	9.25	-0.51	-7.34	-18.07	23.60	-39.17	-29.91	0
2013-2015_GRAÑA Y MONTERO S.A.A.	18.04	9.45	-12.95	-12.04	571.31	-75.89	-65.50	0
2013-2015_INRETAIL PERÚ CORP.	-1.05	-2.40	-18.09		1092.04	113.56	142.41	0
2013-2015_INTERCORP FINANCIAL SERVICES INC.	-22.19	-17.56	1.85			9.83	12.16	0
2013-2015_INTRADEVCO INDUSTRIAL S.A.	3.33	-6.29	54.97		8.92	167.87	165.77	0
2013-2015_INVERSIONES CENTENARIO S.A.A.	-22.43	12.98	-39.04	4.40	503.73	31.66	7.02	0
2013-2015_INVERSIONES NACIONALES DE TURISMO S.A. - INTURSA	-22.28	-7.75	-3.69	-3.16	148.23			0
